ticker,ftcode
MLB,202072
MEM,6945231
MVT,7095582
MHI,200611
MCY,57084486
MEZ,68854285
MED,254697
MAS,149986
MSB,50943752
MBK,28252458
MCT,3823776
MLM,202318
MLS,54488
MLX,67148
MSE,20874673
MTC,382897154
MTS,206949
MEI,199097
MEL,199119
MEQ,68602742
MNC,8548582
MMI,21663860
MPP,76950261
MFF,6133404
MGC,276547981
MXC,6063608
MWR,207960
MHJ,354548617
MX1,321663203
MDI,28227999
MWY,373436960
MIG,286461
MHD,17738814
MOY,288098
MIL,316645438
MAX,5909235
MLT,202498
MNB,26256951
MCR,198007
MDX,198701
MRC,204958
MDL,27859745
MIN,5184428
MEP,199278
MRR,37641208
MNW,7678155
MLI,114625
MIR,201333
MGR,200330
MBT,4588811
MSV,35844258
MTH,206527
MUA,276069968
MRM,205201
MMG,320070702
MMJ,82356071
MIH,67510869
MNF,4718236
MBM,12390046
MBO,22103572
MOB,404151104
MOD,203616
MOE,403811203
MKB,7402570
MPO,204514
MND,203069
MA1,340803690
MVF,76091705
MOX,3145467
MNY,5457155
MZM,5892634
MRV,226137
MEC,408056701
MOC,203595
MTO,343529799
MTB,206328
MGX,200436
MRD,55881
MRQ,35087318
MPW,408128413
MSM,205631
MSI,205830
MCH,197736
MCA,30574812
MRG,374514618
MGV,30892439
MUS,138079
MPX,80536727
MYL,8952557
MYR,21164388
MYQ,294783988
MYO,87650090
MYS,20041842
MZI,221614
N1H,337658161
NAG,4802241
NAM,209152
NC6,431186225
NAN,7315167
NAC,80388314
NCC,52853260
NSC,83031
NAB,208940
NSR,70414175
NTD,442155986
NVL,294670004
NML,28877579
NGI,4574062
NAV,209421
NVT,151950
NEA,237990
NES,442141046
NXR,31122957
NMT,240272
NMS,57783593
NCL,276540208
NTC,217733
NET,50674086
NWL,440540239
NEU,211169
NTI,369611400
NAE,181047
NCZ,27174537
NEW,441638808
NHC,212085
NSE,8077883
NTL,150087
NZK,367462440
NCM,210100
NWF,45639855
NWS,58878598
NME,9071870
NXT,27447921
NXM,6652213
NGE,8011691
NHF,9141105
NLH,437487740
NCK,210076
NIO,145039
NEC,69996533
NIU,34529457
NKP,212960
NMG,12134104
NMM,25213303
NBL,209701
N27,419550458
NTU,5909240
NMI,5366754
NST,217509
NWE,219088
NOR,29042928
NVA,238369
NOE,23275855
NOV,325321387
NHL,55399
NLI,223090
NVX,318737831
NOX,354040853
NWH,8390020
NSL,217392
NSX,217593
NTM,5361443
NCR,262443
NGY,26323613
NUF,218373
NUH,22616901
NUS,417782706
NVO,26701925
NZM,352967031
NZC,2343898
OKJ,11129311
OAR,139499
OBJ,220245
OCL,220467
OGA,434709431
OGC,7865881
OCP,39608
OCA,406220433
OGH,95270
OXX,21539580
ODN,8011693
ODM,24271815
ODY,3587557
OFX,68337442
OSH,223287
OEX,220851
OKR,417780517
OKU,7308391
OLH,221532
OLI,411920751
OMH,221785
OMT,34083004
OSL,2754751
1AL,318449518
ONE,337569597
OVH,76853224
OTR,95075
OML,82191933
OOK,37544
OPN,371022659
OPT,75923
OIL,221285
OPG,44925531
OEC,27277396
OGY,200633
ORR,54591115
ORH,220974
ORI,222980
OTI,223530
ORG,222939
OGX,35358306
OEQ,84538
OHE,80536748
ORM,5366751
ORN,136637
OVL,104025
ORE,9202583
ORA,70204744
ORL,223046
OCC,77414939
OSP,45807771
OLV,86360005
OEL,220825
OVN,353789288
OTW,318891995
OVR,5649744
OZL,224015
OZG,9413785
P2P,442941828
PAK,9354104
PBX,7334324
PAC,271859
PDF,204384
PEA,227174
PFM,228191
PSQ,80738925
PNW,231845
PMY,171967
PGH,70353591
PCK,43092786
PDN,226966
PZC,28018238
PCL,226315
PSY,264193
PAN,256318
PGI,73798
PNR,22065685
